facility_name,facility_id,facility_type,street1,street2,city,state,postal_code,country,latitude,longitude,phone,contact,url,begin_date,end_date,begin_time,end_time,eligibility,documents,cost,currency_code,notes,file_start_date,file_end_date
Richmond Health Department,1,District Health Center,400 East Cary Street,,Richmond,Virginia,23219,US,37.541292,-77.440777,(804) 482-5500,,http://www.vdh.virginia.gov/LHD/richmondcity/clinic.html,2014-10-27,2014-10-30,9:00 AM,12:00 PM,,,,,,,
CVS Pharmacy #1530,2,Pharmacy,2738 West Broad Street,,Richmond,Virginia,23220,US,37.562844,-77.469446,(804) 359-2497,,http://www.cvs.com/stores/cvs-pharmacy-address/2738+West+Broad+Street-Richmond-VA-23220/storeid=1530,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,
CVS Pharmacy #1988,3,Pharmacy,3514 West Cary Street,,Richmond,Virginia,23221,US,37.556883,-77.486545,(804) 355-8533,,http://www.cvs.com/stores/cvs-pharmacy-address/3514+West+Cary+Street-Richmond-VA-23221/storeid=1988,11/3/14,3/31/15,12:00 AM,11:59 PM,,,,,,,
CVS Pharmacy #1986,4,Pharmacy,1007 East Main Street,,Richmond,Virginia,23219,US,37.538283,-77.435230,(804) 648-0108,,http://www.cvs.com/stores/cvs-pharmacy-address/1007+East+Main+Street-Richmond-VA-23219/storeid=1986,11/3/14,11/7/14,8:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #516,5,Pharmacy,1205 Bellevue Avenue,,Richmond,Virginia,23227,US,37.591598,-77.452903,(804) 264-7995,,http://www.cvs.com/stores/cvs-pharmacy-address/1205+Bellevue+Avenue-Richmond-VA-23227/storeid=516,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,
CVS PHARMACY #1989,6,Pharmacy,5001 Forest Hill Avenue,,Richmond,Virginia,23225,US,37.522662,-77.489015,(804) 232-3333,,http://www.cvs.com/stores/cvs-pharmacy-address/5001+Forest+Hill+Avenue-Richmond-VA-23225/storeid=1989,3/29/15,3/29/15,9:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #2973,7,Pharmacy,2400 EAST MAIN STREET,,Richmond,Virginia,23223,US,37.529676,-77.421647,(804) 643-1383,,"http://www.cvs.com/stores/cvs-pharmacy-address/2400+East+Main+Street,+Corner+Of+25th+Street-Richmond-VA-23223/storeid=2973",3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,
CVS Pharmacy #1537,8,Pharmacy,5001 WEST BROAD STREET,,Richmond,Virginia,23230,US,37.58431,-77.49784,(804) 282-5421,,http://www.cvs.com/stores/cvs-pharmacy-address/5001+West+Broad+Street-Richmond-VA-23230/storeid=1537,3/29/15,3/29/15,10:00 AM,7:00 PM,,,,,,,,
CVS Pharmacy #1834,9,Pharmacy,6807 FOREST HILL AVENUE,,Richmond,Virginia,23225,US,37.537187,-77.519852,(804) 323-1354,,http://www.cvs.com/stores/cvs-pharmacy-address/6807+Forest+Hill+Avenue-Richmond-VA-23225/storeid=1834,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #1802,10,Pharmacy,5670 BROOK ROAD,,Richmond,Virginia,23227,US,37.609241,-77.459149,(804) 264-3317,,"http://www.cvs.com/stores/cvs-pharmacy-address/5670+Brook+Road,+Brook+Run+Shopping+Center-Richmond-VA-23227/storeid=1802",3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #1990,11,Pharmacy,6100 LAKESIDE AVENUE,,Richmond,Virginia,23228,US,37.613863,-77.470855,(804) 266-7686,,http://www.cvs.com/stores/cvs-pharmacy-address/6100+Lakeside+Avenue-Richmond-VA-23228/storeid=1990,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #1975,12,Pharmacy,7023 THREE CHOPT ROAD,,Richmond,Virginia,23226,US,37.590433,-77.532598,(804) 285-4449,,http://www.cvs.com/stores/cvs-pharmacy-address/7023+Three+Chopt+Road-Richmond-VA-23226/storeid=1975,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,
CVS Pharmacy #5986,13,Pharmacy,1205 N. LABURNUM AVE,,Richmond,Virginia,23223,US,37.56129,-77.374581,(804) 343-2012,,http://www.cvs.com/stores/cvs-pharmacy-address/1205+N.laburnum+Ave-Richmond-VA-23223/storeid=5986,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #2307,14,Pharmacy,7590 STAPLES MILL ROAD,,Richmond,Virginia,23223,US,37.617929,-77.499748,(804) 515-1692,,http://www.cvs.com/stores/cvs-pharmacy-address/7590+Staples+Mill+Road-Richmond-VA-23228/storeid=2307,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #1546,15,Pharmacy,8811 FOREST HILL AVENUE,,Richmond,Virginia,23235,US,37.534304,-77.560699,(804) 320-7367,,http://www.cvs.com/stores/cvs-pharmacy-address/8811+Forest+Hill+Avenue-Richmond-VA-23235/storeid=1546,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,,
CVS Pharmacy #1971,16,Pharmacy,4721 WALMSLEY BOULEVARD,,Richmond,Virginia,23234,US,37.469075,-77.482535,(804) 275-9235,,http://www.cvs.com/stores/cvs-pharmacy-address/4721+Walmsley+Boulevard-Richmond-VA-23234/storeid=1971,3/29/15,3/29/15,10:00 AM,6:00 PM,,,,,,,
